,price,Seller Name,Seller Rate,Seller Order Count,Buy Payment Type,Buy Min Limit,Buy Max Limit
107,92,Hometraiding,89,26,64,30000.0,3500000.0
108,92.15,Confetka,88,121,64,500.0,300000.0
109,92.18,inveerse,99,228,64,30000.0,1000000.0
110,92.19,Bublick,100,25,64,57000.0,490000.0
111,92.2,ganah,100,123,64,25000.0,1000000.0
112,92.2,sadamm444,100,128,75,500.0,5000.0
113,92.3,Rosta,100,37,64,5000.0,3500000.0
114,92.3,Co_coin,100,211,64,5000.0,700000.0
115,92.45,Samforbusiness,99,209,75,100000.0,150000.0
116,92.49,Undertrade,95,158,64,50000.0,3500000.0
117,92.5,CryptoBazz,100,244,75,500.0,20000.0
118,92.5,Korchagin,99,165,102,10000.0,3500000.0
119,92.5,Radik-e7,98,51,1,500.0,9990.0
120,92.5,Volk SberBank,96,240,64,50000.0,3500000.0
121,92.5,Undertrade,95,158,75,50000.0,3500000.0
122,92.6,Sokol_Trade,100,119,64,1000.0,3500000.0
123,92.6,CRYPTONIK⚜️,97,94,64,500.0,3500000.0
124,92.6,Natisa.,84,22,185,5000.0,3500000.0
125,92.63,Ahilles,94,624,64,500.0,3000000.0
126,92.66,Trade Pro,94,34,75,1000.0,30000.0
127,92.7,Komarowvw777,98,158,75,30000.0,3500000.0
128,92.7,Money8.8.8,90,19,64,50000.0,3500000.0
129,92.92,beehim,94,35,64,500.0,200000.0
130,92.93,litr,98,417,64,10000.0,3500000.0
131,92.95,Vitaminov,100,51,185,5000.0,100000.0
132,92.99,emil1902,100,8,64,10000.0,3500000.0
133,93,easy666,97,40,64,100000.0,2500000.0
134,93.33,K A A,98,214,75,500.0,20000.0
135,93.9,ismoiljon,95,89,274,500.0,9000.0
136,94,AGD,100,86,64,30000.0,500000.0
137,94,ainur029,100,145,64,30000.0,500000.0
138,94.6,Alex_Top,97,43,64,2000.0,25000.0
139,94.89,Wins!,98,110,64,5000.0,3500000.0
140,94.94,RoxelproRU,97,293,64,10000.0,3500000.0
141,95.48,muradik,98,58,274,20000.0,102850.0
142,95.5,Part1zan32,84,11,274,500.0,350000.0
143,95.77,vse svoi,98,781,64,10000.0,2000000.0
144,95.95,Viktoria 25,93,30,64,700.0,20000.0
145,96,Ar3emiii,78,18,88,5000.0,25000.0
146,96.69,Viktoria 25,93,30,71,700.0,15000.0
147,96.97,RedSnout,98,309,64,500.0,36666.66
148,97,Saad23,98,185,75,20000.0,3500000.0
149,97.9,V0l0ha,97,106,48,10000.0,3500000.0
150,98.69,Polkk,98,304,185,1000.0,100000.0
151,98.79,an.noor104,100,545,64,3000.0,100000.0
152,98.88,Dr.Moneygun,97,132,64,5000.0,3500000.0
153,99,Alena86,99,235,75,500.0,350000.0
154,99.6,Alex_Top,97,43,1,2000.0,25000.0
155,99.74,Trust-Exchange,88,22,1,20000.0,3500000.0
156,99.99,jump3819,96,352,64,1000.0,50000.0
157,100,ilkin,100,6,75,500.0,3500000.0
158,100,Mictros,86,65,274,500.0,25000.0
159,102.22,Сила в правде,100,45,185,500.0,333333.0
160,109,ancientone,100,1916,75,50000.0,150000.0
161,109,AbayounG,99,1160,75,10000.0,3500000.0
162,110,xxventury,100,316,64,15000.0,3500000.0
163,120,Prince@,88,8,185,500.0,3500000.0
164,160.38,DimaS999,88,23,75,500.0,3500000.0
165,200,Prince@,88,8,185,500.0,3500000.0
166,260.58,ATAYEV,99,1767,27,2000.0,3500000.0
